artist,album,date,week_num,meta_score,user_score
Fiona Apple,Fetch the Bolt Cutters,"April 17, 2020",16,83,67
Bob Dylan,Rough and Rowdy Ways,"June 19, 2020",25,83,67
Perfume Genius,Set My Heart on Fire Immediately,"May 15, 2020",20,83,67
Creeper,"Sex, Death & The Infinite Void","July 31, 2020",31,83,67
Phoebe Bridgers,Punisher,"June 18, 2020",25,83,67
Pa Salieu,Send Them To Coventry [Mixtape],"November 13, 2020",46,83,67
Moses Sumney,græ,"May 15, 2020",20,83,67
Run the Jewels,RTJ4,"June 3, 2020",23,83,67
Rina Sawayama,Sawayama,"April 17, 2020",16,83,67
BC Camplight,Shortly After Takeoff,"April 24, 2020",17,83,67
HAIM,"Women in Music, Pt. III","June 26, 2020",26,83,67
Gil Scott-Heron,We're New Again: A Reimagining by Makaya McCraven,"February 7, 2020",6,83,67
Taylor Swift,Folklore,"July 24, 2020",30,83,67
Laura Marling,Song for Our Daughter,"April 10, 2020",15,83,67
Dua Lipa,Future Nostalgia,"March 27, 2020",13,83,67
Waxahatchee,Saint Cloud,"March 27, 2020",13,83,67
Yves Tumor,Heaven to a Tortured Mind,"April 3, 2020",14,83,67
Freddie Gibbs,Alfredo,"May 29, 2020",22,83,67
Bruce Springsteen,Letter to You,"October 23, 2020",43,83,67
Neil Young,Homegrown,"June 19, 2020",25,83,67
Mystery Jets,A Billion Heartbeats,"April 3, 2020",14,83,67
The Microphones,Microphones in 2020,"August 7, 2020",32,83,67
Crack Cloud,Pain Olympics,"July 17, 2020",29,83,67
Beatrice Dillon,Workaround,"February 7, 2020",6,83,67
Headie One,Edna,"October 9, 2020",41,83,67
Deftones,Ohms,"September 25, 2020",39,83,67
The Soft Pink Truth,Shall We Go on Sinning So That Grace May Increase?,"May 1, 2020",18,83,67
Fleet Foxes,Shore,"September 22, 2020",39,83,67
PVRIS,Use Me,"August 28, 2020",35,83,67
Róisín Murphy,Róisín Machine,"October 2, 2020",40,83,67
Baxter Dury,The Night Chancers,"March 20, 2020",12,83,67
J Hus,Big Conspiracy,"January 24, 2020",4,83,67
Shirley Collins,Heart's Ease,"July 24, 2020",30,83,67
Porridge Radio,Every Bad,"March 13, 2020",11,83,67
Jarv Is...,Beyond the Pale,"July 17, 2020",29,83,67
This Is the Kit,Off Off On,"October 23, 2020",43,83,67
Frazey Ford,U Kin B The Sun,"February 7, 2020",6,83,67
Napalm Death,Throes of Joy in the Jaws of Defeatism,"September 18, 2020",38,83,67
Nadine Shah,Kitchen Sink,"June 26, 2020",26,83,67
Owen Pallett,Island,"May 22, 2020",21,83,67
The Avalanches,We Will Always Love You,"December 11, 2020",50,83,67
Bill Callahan,Gold Record,"September 4, 2020",36,83,67
The James Hunter Six,Nick of Time,"March 6, 2020",10,83,67
Mary Lattimore,Silver Ladders,"October 9, 2020",41,83,67
Lomelda,Hannah,"September 4, 2020",36,83,67
Megan Thee Stallion,Good News,"November 20, 2020",47,83,67
Oumou Sangare,Acoustic,"June 19, 2020",25,83,67
Lilly Hiatt,Walking Proof,"March 27, 2020",13,83,67
Jeff Rosenstock,No Dream,"May 20, 2020",21,83,67
Katie Gately,Loom,"February 14, 2020",7,83,67
Taylor Swift,evermore,"December 11, 2020",50,83,67
Fontaines D.C.,A Hero's Death,"July 31, 2020",31,83,67
Max Richter,Voices,"July 31, 2020",31,83,67
Laura Veirs,My Echo,"October 23, 2020",43,83,67
Pallbearer,Forgotten Days,"October 23, 2020",43,83,67
Jyoti,"Mama, You Can Bet!","August 28, 2020",35,83,67
Biffy Clyro,A Celebration of Endings,"August 14, 2020",33,83,67
Bob Mould,Blue Hearts,"September 25, 2020",39,83,67
Kate NV,Room for the Moon,"June 12, 2020",24,83,67
Blake Mills,Mutable Set,"May 8, 2020",19,83,67
Thundercat,It Is What It Is,"April 3, 2020",14,83,67
Everything Everything,RE-ANIMATOR,"September 11, 2020",37,83,67
Bill Fay,Countless Branches,"January 17, 2020",3,83,67
Kelly Lee Owens,Inner Song,"August 28, 2020",35,83,67
William Basinski,Lamentations,"November 13, 2020",46,83,67
