artist,album,date,week_num,meta_score,user_score
The White Stripes,Elephant,"April 1, 2003",14,80,83
Outkast,Speakerboxxx/The Love Below,"September 23, 2003",39,80,83
Four Tet,Rounds,"May 6, 2003",19,80,83
The Notwist,Neon Golden,"February 25, 2003",9,80,83
The Shins,Chutes Too Narrow,"October 21, 2003",43,80,83
Pernice Brothers,"Yours, Mine & Ours","May 20, 2003",21,80,83
Caribou,Up In Flames,"April 8, 2003",15,80,83
Damien Jurado,Where Shall You Take Me,"March 18, 2003",12,80,83
Drive-By Truckers,Decoration Day,"June 17, 2003",25,80,83
Lucinda Williams,World Without Tears,"April 8, 2003",15,80,83
Emmylou Harris,Stumble Into Grace,"September 23, 2003",39,80,83
Super Furry Animals,Phantom Power,"July 22, 2003",30,80,83
Prefuse 73,One Word Extinguisher,"May 6, 2003",19,80,83
British Sea Power,The Decline Of British Sea Power,"September 9, 2003",37,80,83
Broken Social Scene,You Forgot It In People,"June 3, 2003",23,80,83
Califone,Quicksand / Cradlesnakes,"March 18, 2003",12,80,83
Fountains of Wayne,Welcome Interstate Managers,"June 10, 2003",24,80,83
Calexico,Feast of Wire,"February 18, 2003",8,80,83
Explosions in the Sky,The Earth Is Not A Cold Dead Place,"November 4, 2003",45,80,83
The Books,The Lemon Of Pink,"October 14, 2003",42,80,83
Warren Zevon,The Wind,"August 26, 2003",35,80,83
Bill Frisell,The Intercontinentals,"April 15, 2003",16,80,83
Holopaw,Holopaw,"January 21, 2003",4,80,83
Radiohead,Hail To The Thief,"June 10, 2003",24,80,83
Songs: Ohia,Magnolia Electric Co.,"March 4, 2003",10,80,83
Joe Strummer & The Mescaleros,Streetcore,"October 21, 2003",43,80,83
Mogwai,Happy Songs For Happy People,"June 17, 2003",25,80,83
Nina Nastasia,Run To Ruin,"June 3, 2003",23,80,83
The Wrens,The Meadowlands,"September 9, 2003",37,80,83
Basement Jaxx,Kish Kash,"October 21, 2003",43,80,83
The Handsome Family,Singing Bones,"October 7, 2003",41,80,83
Yeah Yeah Yeahs,Fever To Tell,"April 29, 2003",18,80,83
Cursive,The Ugly Organ,"March 4, 2003",10,80,83
Ted Leo & The Pharmacists,Hearts Of Oak,"February 11, 2003",7,80,83
Rickie Lee Jones,The Evening Of My Best Day,"October 7, 2003",41,80,83
Town & Country,5,"September 9, 2003",37,80,83
Rancid,Indestructible,"August 19, 2003",34,80,83
Vic Chesnutt,Silver Lake,"March 25, 2003",13,80,83
All Girl Summer Fun Band,2,"April 22, 2003",17,80,83
Jay-Z,The Black Album,"November 14, 2003",46,80,83
Original Soundtrack,Lost in Translation OST,"September 9, 2003",37,80,83
Sun Kil Moon,Ghosts Of The Great Highway,"November 4, 2003",45,80,83
Do Make Say Think,Winter Hymn Country Hymn Secret Hymn,"October 7, 2003",41,80,83
Beulah,Yoko,"September 9, 2003",37,80,83
Death Cab for Cutie,Transatlanticism,"October 7, 2003",41,80,83
The Hidden Cameras,The Smell Of Our Own,"May 6, 2003",19,80,83
Wire,Send,"April 28, 2003",18,80,83
The Clientele,The Violet Hour,"July 8, 2003",28,80,83
Jesse Malin,The Fine Art of Self-Destruction,"January 28, 2003",5,80,83
The Decemberists,Her Majesty The Decemberists,"September 9, 2003",37,80,83
Beth Gibbons & Rustin Man,Out of Season,"October 7, 2003",41,80,83
Holly Golightly,Truly She Is None Other,"July 29, 2003",31,80,83
Idlewild,The Remote Part,"March 25, 2003",13,80,83
Talking Heads,Once In A Lifetime,"November 18, 2003",47,80,83
Brooks & Dunn,Red Dirt Road,"July 15, 2003",29,80,83
!!! [Chik Chik Chik],Me & Giuliani Down By the School Yard (A True Story) [EP],"June 3, 2003",23,80,83
Shelby Lynne,Identity Crisis,"September 16, 2003",38,80,83
The Constantines,Shine A Light,"August 19, 2003",34,80,83
Blur,Think Tank,"May 6, 2003",19,80,83
"Bonnie ""Prince"" Billy",Master And Everyone,"January 28, 2003",5,80,83
My Morning Jacket,It Still Moves,"September 9, 2003",37,80,83
Bubba Sparxxx,Deliverance,"September 16, 2003",38,80,83
Matt Elliott,The Mess We Made,"May 13, 2003",20,80,83
The Go-Betweens,Bright Yellow Bright Orange,"February 18, 2003",8,80,83
Crooked Fingers,Red Devil Dawn,"January 21, 2003",4,80,83
Soul Position,8 Million Stories,"October 7, 2003",41,80,83
Dressy Bessy,Dressy Bessy,"August 26, 2003",35,80,83
The Blood Brothers,"Burn Piano Island, Burn","March 18, 2003",12,80,83
Cat Power,You Are Free,"February 18, 2003",8,80,83
Menomena,I Am The Fun Blame Monster,"June 20, 2003",25,80,83
Fruit Bats,Mouthfuls,"April 8, 2003",15,80,83
M. Ward,Transfiguration Of Vincent,"March 18, 2003",12,80,83
The Mars Volta,De-Loused In The Comatorium,"June 24, 2003",26,80,83
The New Pornographers,Electric Version,"May 6, 2003",19,80,83
Richard Hawley,Lowedges,"May 20, 2003",21,80,83
Broadcast,Haha Sound,"August 12, 2003",33,80,83
KaitO,band red,"May 20, 2003",21,80,83
Lightning Bolt,Wonderful Rainbow,"March 4, 2003",10,80,83
Gossip,Movement,"May 6, 2003",19,80,83
The Essex Green,The Long Goodbye,"April 8, 2003",15,80,83
Rachel's,Systems/Layers,"October 7, 2003",41,80,83
AFI,Sing The Sorrow,"March 11, 2003",11,80,83
The Bad Plus,These Are The Vistas,"February 11, 2003",7,80,83
Josh Rouse,1972,"August 26, 2003",35,80,83
Portastatic,Summer Of The Shark,"April 8, 2003",15,80,83
Richard Thompson,The Old Kit Bag,"May 6, 2003",19,80,83
The Coral,The Coral,"March 4, 2003",10,80,83
Stars,Heart,"August 26, 2003",35,80,83
Nada Surf,Let Go,"February 4, 2003",6,80,83
Clearlake,Cedars,"October 21, 2003",43,80,83
Kelis,Tasty,"December 9, 2003",50,80,83
Various Artists,New York Noise,"June 30, 2003",27,80,83
Ms. Dynamite,A Little Deeper,"March 11, 2003",11,80,83
