artist,album,date,meta_score,user_score
The Streets,Original Pirate Material,"October 22, 2002",90,87
Tom Waits,Alice,"May 7, 2002",90,85
Queens of the Stone Age,Songs For The Deaf,"August 27, 2002",89,89
Spoon,Kill The Moonlight,"August 20, 2002",88,88
Wilco,Yankee Hotel Foxtrot,"April 23, 2002",87,89
The Roots,Phrenology,"November 26, 2002",87,86
Iron & Wine,The Creek Drank The Cradle,"September 24, 2002",87,87
Super Furry Animals,Rings Around The World,"March 19, 2002",86,87
24 Hour Party People,OST,"August 6, 2002",86,85
Solomon Burke,Don't Give Up On Me,"July 23, 2002",85,80
Songs: Ohia,Didn't It Rain,"March 5, 2002",85,83
...And You Will Know Us by the Trail of Dead,Source Tags & Codes,"February 26, 2002",85,87
Sleater-Kinney,One Beat,"August 20, 2002",85,87
Doves,The Last Broadcast,"June 4, 2002",85,88
Boards of Canada,Geogaddi,"February 19, 2002",84,88
They Might Be Giants,No!,"June 11, 2002",84,88
Out Hud,S.T.R.E.E.T. D.A.D.,"November 19, 2002",84,83
The Hives,Veni Vidi Vicious,"April 30, 2002",84,87
Tom Waits,Blood Money,"May 7, 2002",84,88
The Flaming Lips,Yoshimi Battles The Pink Robots,"July 16, 2002",84,88
The Polyphonic Spree,The Beginning Stages Of...,"June 4, 2002",84,71
Pulp,We Love Life,"August 20, 2002",84,86
Ron Sexsmith,Cobblestone Runway,"October 8, 2002",84,88
N.E.R.D,In Search Of... [Second Version],"March 12, 2002",83,85
Hayden,Skyscraper National Park,"March 12, 2002",83,80
Sigur Rós,(),"October 29, 2002",82,88
Neko Case,Blacklisted,"August 20, 2002",82,87
Me'Shell Ndegéocello,Cookie: The Anthropological Mix Tape,"June 4, 2002",82,87
Bruce Springsteen & The E Street Band,The Rising,"July 30, 2002",82,82
Norah Jones,Come Away With Me,"February 26, 2002",82,86
Mekons,OOOH! (Out Of Our Heads),"August 20, 2002",82,88
Cornelius,Point,"January 22, 2002",82,84
16 Horsepower,Folklore,"August 6, 2002",82,78
Sonic Youth,Murray Street,"June 25, 2002",82,85
Elbow,Asleep In The Back,"January 22, 2002",82,86
Missy Elliott,Under Construction,"November 12, 2002",81,82
Lemon Jelly,Lost Horizons,"October 8, 2002",81,88
Interpol,Turn On The Bright Lights,"August 20, 2002",81,90
DJ Shadow,The Private Press,"June 4, 2002",81,84
Nas,The Lost Tapes,"September 24, 2002",81,86
Röyksopp,Melody A.M.,"October 15, 2002",81,87
Nas,God's Son,"December 17, 2002",81,87
Mr. Lif,I Phantom,"September 17, 2002",81,83
The Herbaliser,Something Wicked This Way Comes,"March 19, 2002",81,0
