artist,album,date,meta_score,user_score
Sufjan Stevens,Illinois,"July 5, 2005",90,89
My Morning Jacket,Z,"October 4, 2005",90,84
Isolée,Wearemonster,"June 6, 2005",89,84
Belle and Sebastian,Push Barman To Open Old Wounds,"May 24, 2005",89,88
Lightning Bolt,Hypermagic Mountain,"October 18, 2005",88,66
Sleater-Kinney,The Woods,"May 24, 2005",88,84
Antony and the Johnsons,I Am A Bird Now,"February 1, 2005",88,83
M.I.A.,Arular,"March 22, 2005",88,84
Konono No. 1,Congotronics,"September 27, 2005",87,72
The Hold Steady,Separation Sunday,"May 3, 2005",86,87
Kraftwerk,Minimum-Maximum [Live],"June 7, 2005",86,86
The Go! Team,"Thunder, Lightning, Strike","October 4, 2005",86,87
LCD Soundsystem,LCD Soundsystem,"February 15, 2005",86,80
Okkervil River,Black Sheep Boy,"April 5, 2005",86,88
Ry Cooder,Chavez Ravine,"June 14, 2005",86,88
Andrew Bird,The Mysterious Production Of Eggs,"February 8, 2005",85,88
Bright Eyes,"I'm Wide Awake, It's Morning","January 25, 2005",85,81
Kanye West,Late Registration,"August 30, 2005",85,84
System Of A Down,Mezmerize,"May 17, 2005",85,85
Edan,Beauty And The Beat,"March 29, 2005",85,87
The New Pornographers,Twin Cinema,"August 23, 2005",85,88
The Go-Betweens,Oceans Apart,"May 3, 2005",85,80
Eels,Blinking Lights And Other Revelations,"April 26, 2005",85,88
Buck 65,This Right Here Is Buck 65,"January 25, 2005",85,85
Richard Hawley,Cole's Corner,"September 6, 2005",85,89
Vashti Bunyan,Lookaftering,"October 25, 2005",85,81
The Books,Lost And Safe,"April 5, 2005",84,86
Spoon,Gimme Fiction,"May 10, 2005",84,88
Animal Collective,Feels,"October 18, 2005",84,88
Sigur Rós,Takk...,"September 13, 2005",84,88
Fiona Apple,Extraordinary Machine,"October 4, 2005",84,87
The Earlies,These Were The Earlies,"October 25, 2005",84,85
Jamie Lidell,Multiply,"June 28, 2005",84,74
Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,"June 28, 2005",84,85
Portastatic,Bright Ideas,"August 23, 2005",83,83
Six Organs of Admittance,School Of The Flower,"January 25, 2005",83,80
Wolf Parade,Apologies To The Queen Mary,"September 27, 2005",83,88
Blueprint,1988,"March 29, 2005",83,80
Common,Be,"May 24, 2005",83,87
Franz Ferdinand,You Could Have It So Much Better,"October 4, 2005",83,83
The Mountain Goats,The Sunset Tree,"April 26, 2005",83,88
Kano,Home Sweet Home,"June 27, 2005",82,85
Broken Social Scene,Broken Social Scene,"October 4, 2005",82,84
Iron & Wine,Woman King [EP],"February 22, 2005",82,86
Gorillaz,Demon Days,"May 24, 2005",82,88
Low,The Great Destroyer,"January 25, 2005",82,82
Nickel Creek,Why Should The Fire Die?,"August 9, 2005",82,85
Bloc Party,Silent Alarm,"March 22, 2005",82,89
The National,Alligator,"April 12, 2005",82,88
Xiu Xiu,La Foret,"July 12, 2005",82,83
Odd Nosdam,Burner,"June 14, 2005",81,88
Kate Bush,Aerial,"November 8, 2005",81,89
The White Stripes,Get Behind Me Satan,"June 7, 2005",81,83
DangerDoom,The Mouse And The Mask,"October 11, 2005",81,86
The Decemberists,Picaresque,"March 22, 2005",81,85
Akron/Family & Angels Of Light,Akron/Family & Angels Of Light,"November 8, 2005",81,71
Archer Prewitt,Wilderness,"January 25, 2005",81,85
Bruce Springsteen,Devils & Dust,"April 26, 2005",81,85
Stars,Set Yourself On Fire,"March 8, 2005",81,88
Neil Diamond,12 Songs,"November 8, 2005",81,83
