artist,album,date,meta_score,user_score
Wadada Leo Smith,Ten Freedom Summers,"May 22, 2012",99,44
The Menzingers,On the Impossible Past,"February 21, 2012",93,80
Frank Ocean,Channel Orange,"July 17, 2012",92,89
Kendrick Lamar,"Good Kid, M.A.A.D City","October 22, 2012",91,88
Fiona Apple,The Idler Wheel Is Wiser than the Driver of the Screw and Whipping Cords Will Serve You More than Ropes Will Ever Do,"June 19, 2012",89,90
Vijay Iyer Trio,Accelerando,"March 13, 2012",88,70
Tame Impala,Lonerism,"October 9, 2012",88,89
Sweet Billy Pilgrim,Crown and Treaty,"April 16, 2012",88,0
Converge,All We Love We Leave Behind,"October 9, 2012",88,88
Moritz von Oswald Trio,Fetch,"July 3, 2012",87,62
Shackleton,Music For the Quiet Hour/The Drawbar Organ EPs,"December 4, 2012",87,72
Swans,The Seer,"August 28, 2012",87,85
Goat,World Music,"August 20, 2012",87,78
Staff Benda Bilili,Bouger le Monde!,"September 4, 2012",87,0
Pig Destroyer,Book Burner,"October 22, 2012",86,75
Anaïs Mitchell,Young Man In America,"February 28, 2012",86,80
Bill Fay,Life Is People,"August 20, 2012",86,81
Miguel,Kaleidoscope Dream,"October 2, 2012",86,88
Andy Stott,Luxury Problems,"November 6, 2012",86,86
Dwight Yoakam,3 Pears,"September 18, 2012",86,71
Deftones,Koi No Yokan,"November 13, 2012",86,88
Grizzly Bear,Shields,"September 18, 2012",86,88
Dr. John,Locked Down,"April 3, 2012",86,82
Gojira,L'Enfant Sauvage,"June 26, 2012",86,88
Billy Bragg/Wilco,Mermaid Avenue: The Complete Sessions,"April 21, 2012",85,80
Rumer,Seasons of My Soul,"January 24, 2012",85,78
High on Fire,De Vermis Mysteriis,"April 3, 2012",85,87
Jessie Ware,Devotion,"August 20, 2012",85,89
Leonard Cohen,Old Ideas,"January 31, 2012",85,81
Led Zeppelin,Celebration Day [Live],"November 19, 2012",85,85
Matthew E. White,Big Inner,"August 21, 2012",85,86
Brad Mehldau Trio,Ode,"March 20, 2012",85,0
Goldfrapp,The Singles,"February 7, 2012",85,84
Killer Mike,R.A.P. Music,"May 15, 2012",85,85
Mount Eerie,Ocean Roar,"September 4, 2012",85,84
Azealia Banks,1991 [EP],"June 12, 2012",84,87
El-P,Cancer4Cure,"May 22, 2012",84,85
Jamey Johnson,Living for a Song: A Tribute to Hank Cochran,"October 16, 2012",84,0
Rebecca Ferguson,Heaven,"May 29, 2012",84,87
Monolake,Ghosts,"March 13, 2012",84,0
Ty Segall Band,Slaughterhouse,"June 26, 2012",83,78
Julia Holter,Ekstasis,"March 12, 2012",83,85
Japandroids,Celebration Rock,"June 5, 2012",83,88
Torche,Harmonicraft,"April 24, 2012",83,83
TNGHT,TNGHT [EP],"July 24, 2012",83,88
The Evens,The Odds,"November 19, 2012",83,79
Screaming Females,Ugly,"April 3, 2012",83,82
Swans,We Rose from Your Bed with the Sun in Our Head [Live],"May 29, 2012",83,84
Bob Dylan,Tempest,"September 11, 2012",83,77
Ab-Soul,Control System,"May 11, 2012",83,87
Jack White,Blunderbuss,"April 24, 2012",83,85
Flying Lotus,Until the Quiet Comes,"October 2, 2012",83,82
The Men,Open Your Heart,"March 6, 2012",83,82
Cloud Nothings,Attack On Memory,"January 24, 2012",83,88
Yellowcard,Southern Air,"August 14, 2012",83,88
Plan B,Ill Manors,"August 21, 2012",83,84
Martin Rossiter,The  Defenestration of St. Martin,"December 3, 2012",83,79
Father John Misty,Fear Fun,"May 1, 2012",83,83
Roc Marciano,Reloaded,"November 13, 2012",83,70
Alice Russell,Look Around the Corner,"April 2, 2012",83,0
The Henry Clay People,Twenty-Five for the Rest of Our Lives,"June 26, 2012",83,0
Earth,"Angels of Darkness, Demons of Light, Vol. 2","February 14, 2012",83,83
L.V.,Sebenza,"September 18, 2012",82,88
METZ,METZ,"October 9, 2012",82,77
Baroness,Yellow & Green,"July 17, 2012",82,82
Allo Darlin',Europe,"May 1, 2012",82,83
Alcest,Les Voyages de l'ame,"January 31, 2012",82,85
Raime,Quarter Turns Over a Living Line,"December 4, 2012",82,86
Chuck Prophet,Temple Beautiful,"February 7, 2012",82,84
Dan Deacon,America,"August 28, 2012",82,83
Amanda Palmer & the Grand Theft Orchestra,Theatre Is Evil,"September 11, 2012",82,80
Eric Copeland,Limbo,"July 24, 2012",82,0
Donald Fagen,Sunken Condos,"October 16, 2012",82,81
Saint Etienne,Words & Music by Saint Etienne,"May 29, 2012",82,79
Field Report,Field Report,"September 11, 2012",82,75
Paul Buchanan,Mid Air,"November 6, 2012",82,0
Dexys,One Day I'm Going To Soar,"June 4, 2012",82,80
Antony and the Johnsons,Cut the World [Live],"August 7, 2012",82,73
X-TG,Desertshore/The Final Report,"November 26, 2012",82,0
Neurosis,Honor Found In Decay,"October 30, 2012",81,79
Patti Smith,Banga,"June 5, 2012",81,85
Jay Farrar/Will Johnson/Anders Parker/Yim Yames,New Multitudes,"February 28, 2012",81,0
